state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,county_id,fuel type
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,BI
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,BI
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,CNG
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,CNG
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,DIES
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,DIES
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,DIES
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,ELECTRIC VEHICLE
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,FFV
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,FFV
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,GAS
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,GAS
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,GAS
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,HYBRID ELECTRIC VEHICLE
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,HYBRID ELECTRIC VEHICLE
alabama,Jefferson,134768,156873,291641,46.21,53.79,1073,PLUG IN HYBRID ELECTRIC VEHICLE
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,BI
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,BI
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,CNG
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,CNG
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,DIES
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,DIES
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,DIES
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,ELECTRIC VEHICLE
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,FFV
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,FFV
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,FFV
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,GAS
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,GAS
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,GAS
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,HYBRID ELECTRIC VEHICLE
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,HYBRID ELECTRIC VEHICLE
alabama,Mobile,95116,72186,167302,56.85,43.15,1097,PLUG IN HYBRID ELECTRIC VEHICLE
alabama,Madison,89520,62822,152342,58.76,41.24,1089,BI
alabama,Madison,89520,62822,152342,58.76,41.24,1089,BI
alabama,Madison,89520,62822,152342,58.76,41.24,1089,DIES
alabama,Madison,89520,62822,152342,58.76,41.24,1089,DIES
alabama,Madison,89520,62822,152342,58.76,41.24,1089,DIES
alabama,Madison,89520,62822,152342,58.76,41.24,1089,ELECTRIC VEHICLE
alabama,Madison,89520,62822,152342,58.76,41.24,1089,FFV
alabama,Madison,89520,62822,152342,58.76,41.24,1089,FFV
alabama,Madison,89520,62822,152342,58.76,41.24,1089,FFV
alabama,Madison,89520,62822,152342,58.76,41.24,1089,GAS
alabama,Madison,89520,62822,152342,58.76,41.24,1089,GAS
alabama,Madison,89520,62822,152342,58.76,41.24,1089,GAS
alabama,Madison,89520,62822,152342,58.76,41.24,1089,HYBRID ELECTRIC VEHICLE
alabama,Madison,89520,62822,152342,58.76,41.24,1089,HYBRID ELECTRIC VEHICLE
alabama,Madison,89520,62822,152342,58.76,41.24,1089,PLUG IN HYBRID ELECTRIC VEHICLE
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,BI
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,BI
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,CNG
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,DIES
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,DIES
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,DIES
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,ELECTRIC VEHICLE
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,FFV
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,FFV
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,GAS
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,GAS
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,GAS
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,HYBRID ELECTRIC VEHICLE
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,HYBRID ELECTRIC VEHICLE
alabama,Shelby,73020,22977,95997,76.06,23.94,1117,PLUG IN HYBRID ELECTRIC VEHICLE
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,BI
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,BI
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,CNG
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,CNG
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,DIES
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,DIES
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,DIES
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,ELECTRIC VEHICLE
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,FFV
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,FFV
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,FFV
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,GAS
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,GAS
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,GAS
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,HYBRID ELECTRIC VEHICLE
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,HYBRID ELECTRIC VEHICLE
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,PLUG IN HYBRID ELECTRIC VEHICLE
alabama,Montgomery,34003,58916,92919,36.59,63.41,1101,PROP
alabama,Baldwin,72883,18458,91341,79.79,20.21,1003,BI
alabama,Baldwin,72883,18458,91341,79.79,20.21,1003,BI
alabama,Baldwin,72883,18458,91341,79.79,20.21,1003,CNG
